"SEX" "LENGTH" "DIAM" "HEIGHT" "WHOLE" "SHUCK" "VISCERA" "SHELL" "RINGS" "CLASS"
"1191" "F" 0.705 0.55 0.17 1.219 0.6395 0.236 0.301 9 "A3"
"3264" "M" 0.575 0.455 0.185 1.156 0.5525 0.243 0.295 13 "A5"
"1693" "M" 0.645 0.51 0.195 1.226 0.5885 0.2215 0.3745 10 "A3"
"3654" "F" 0.625 0.485 0.135 1.3025 0.61 0.2675 0.3605 14 "A5"
"3891" "F" 0.47 0.35 0.115 0.487 0.1955 0.127 0.155 8 "A2"
"189" "F" 0.585 0.46 0.17 0.9325 0.365 0.271 0.29 9 "A3"
"2184" "I" 0.275 0.22 0.08 0.1365 0.0565 0.0285 0.042 6 "A1"
"3690" "F" 0.485 0.365 0.15 0.9145 0.4145 0.199 0.273 7 "A2"
"2280" "M" 0.46 0.375 0.13 0.5735 0.2505 0.119 0.195 9 "A3"
"1887" "I" 0.575 0.45 0.135 0.8715 0.45 0.162 0.225 10 "A3"
"3953" "M" 0.665 0.515 0.165 1.3855 0.621 0.302 0.3445 8 "A2"
"1873" "I" 0.565 0.435 0.145 0.8445 0.3975 0.158 0.255 9 "A3"
"2798" "I" 0.46 0.365 0.115 0.511 0.2365 0.118 0.123 7 "A2"
"2364" "F" 0.485 0.365 0.14 0.6195 0.2595 0.1445 0.177 14 "A5"
"425" "M" 0.58 0.45 0.175 1.068 0.425 0.203 0.32 13 "A5"
"3713" "I" 0.385 0.29 0.1 0.2575 0.1 0.061 0.086 6 "A1"
"1016" "F" 0.63 0.495 0.165 1.3075 0.599 0.284 0.315 11 "A4"
"174" "I" 0.235 0.16 0.04 0.048 0.0185 0.018 0.015 5 "A1"
"1353" "F" 0.605 0.47 0.16 1.0835 0.5405 0.2215 0.275 12 "A4"
"3935" "I" 0.385 0.285 0.09 0.248 0.0935 0.066 0.07 6 "A1"
"3666" "F" 0.65 0.51 0.175 1.35 0.575 0.3155 0.3885 10 "A3"
"2855" "I" 0.5 0.39 0.13 0.5075 0.2115 0.104 0.1755 9 "A3"
"2639" "M" 0.57 0.45 0.135 1.02 0.546 0.204 0.25 9 "A3"
"4095" "M" 0.58 0.45 0.14 0.824 0.3465 0.1765 0.263 10 "A3"
"2700" "I" 0.4 0.305 0.1 0.3415 0.176 0.0625 0.0865 7 "A2"
"2917" "M" 0.63 0.51 0.17 1.1885 0.4915 0.3065 0.348 7 "A2"
"2239" "M" 0.585 0.43 0.16 0.955 0.3625 0.176 0.27 11 "A4"
"2445" "M" 0.51 0.415 0.14 0.8185 0.3025 0.2155 0.235 16 "A6"
"1190" "F" 0.7 0.525 0.19 1.6465 0.8545 0.307 0.3995 9 "A3"
"605" "I" 0.425 0.345 0.125 0.425 0.16 0.0795 0.154 13 "A5"
"3959" "I" 0.185 0.135 0.045 0.032 0.011 0.0065 0.01 4 "A1"
"3709" "F" 0.705 0.555 0.195 1.7525 0.7105 0.4215 0.516 12 "A4"
